,https://uk.finance.yahoo.com/quote/SRGHY/history?period1=1514757600&period2=1546207200&interval=1d&filter=history&frequency=1d
,"Shoprite Holdings Limited (SRGHY)
Other OTC - Other OTC Delayed price. Currency in USD"
Date,Close
1/2/2018,17.450001
1/3/2018,17.450001
1/4/2018,17.5
1/5/2018,18.049999
1/8/2018,17.85
1/9/2018,17.709999
1/10/2018,17.43
1/11/2018,17.120001
1/12/2018,17.450001
1/16/2018,17.92
1/17/2018,18.940001
1/18/2018,19.889999
1/19/2018,19.73
1/22/2018,20
1/23/2018,20.59
1/24/2018,21
1/25/2018,21.18
1/26/2018,20.940001
1/29/2018,20.26
1/30/2018,20.09
1/31/2018,20.82
2/1/2018,21.09
2/2/2018,19.99
2/5/2018,19.48
2/6/2018,20.1
2/7/2018,19.9
2/8/2018,19.139999
2/9/2018,19.799999
2/12/2018,20.49
2/13/2018,20.959999
2/14/2018,22
2/15/2018,22.43
2/16/2018,21.889999
2/20/2018,20.629999
2/21/2018,21.309999
2/22/2018,21.26
2/23/2018,22.559999
2/26/2018,22.540001
2/27/2018,22.139999
2/28/2018,22.040001
3/1/2018,22.02
3/2/2018,22.65
3/5/2018,22.9
3/6/2018,23.26
3/7/2018,23.370001
3/8/2018,22.76
3/9/2018,22.99
3/12/2018,22.59
3/13/2018,22.459999
3/14/2018,22
3/15/2018,21.43
3/16/2018,21.09
3/19/2018,21.27
3/20/2018,22.02
3/21/2018,22.549999
3/22/2018,21.77
3/23/2018,21.309999
3/26/2018,22.309999
3/27/2018,21.59
3/28/2018,21.07
3/29/2018,21.68
4/2/2018,21.02
4/3/2018,21.379999
4/4/2018,20.77
4/5/2018,20.74
4/6/2018,20.1
4/9/2018,20.32
4/10/2018,20.620001
4/11/2018,20.690001
4/12/2018,20.26
4/13/2018,20.200001
4/16/2018,20.33
4/17/2018,20.98
4/18/2018,20.780001
4/19/2018,21.08
4/20/2018,20.280001
4/23/2018,19.959999
4/24/2018,19.879999
4/25/2018,19.959999
4/26/2018,19.809999
4/27/2018,19.879999
4/30/2018,19.75
5/1/2018,19.43
5/2/2018,19.540001
5/3/2018,19.32
5/4/2018,19.450001
5/7/2018,19.43
5/8/2018,19.27
5/9/2018,19.469999
5/10/2018,19.52
5/11/2018,19.969999
5/14/2018,19.52
5/15/2018,19.15
5/16/2018,19.49
5/17/2018,18.91
5/18/2018,18.68
5/21/2018,18.58
5/22/2018,18.98
5/23/2018,18.99
5/24/2018,18.370001
5/25/2018,18.43
5/29/2018,17.85
5/30/2018,18.879999
5/31/2018,18.5
6/1/2018,18.450001
6/4/2018,18.85
6/5/2018,18.049999
6/6/2018,18.25
6/7/2018,17.5
6/8/2018,18.049999
6/11/2018,17.610001
6/12/2018,17.469999
6/13/2018,17.129999
6/14/2018,17.85
6/15/2018,17.68
6/18/2018,16.85
6/19/2018,16.4
6/20/2018,16.85
6/21/2018,16.74
6/22/2018,17.16
6/25/2018,16.74
6/26/2018,16.549999
6/27/2018,15.15
6/28/2018,15.77
6/29/2018,16.01
7/2/2018,16.15
7/3/2018,16.4
7/5/2018,16.940001
7/6/2018,16.76
7/9/2018,17.01
7/10/2018,17.129999
7/11/2018,16.52
7/12/2018,16.82
7/13/2018,16.75
7/16/2018,16.469999
7/17/2018,16.719999
7/18/2018,16.18
7/19/2018,15.29
7/20/2018,15.45
7/23/2018,15.25
7/24/2018,15.64
7/25/2018,15.76
7/26/2018,15.87
7/27/2018,15.88
7/30/2018,16.09
7/31/2018,16.43
8/1/2018,16.190001
8/2/2018,15.56
8/3/2018,16.040001
8/6/2018,15.76
8/7/2018,16.26
8/8/2018,16.34
8/9/2018,15.88
8/10/2018,14.98
8/13/2018,14.68
8/14/2018,15.04
8/15/2018,14.58
8/16/2018,14.21
8/17/2018,14.45
8/20/2018,14.46
8/21/2018,14.07
8/22/2018,14.74
8/23/2018,14.95
8/24/2018,15.31
8/27/2018,15.81
8/28/2018,15.56
8/29/2018,14.63
8/30/2018,13.5
8/31/2018,13.87
9/4/2018,13.03
9/5/2018,12.94
9/6/2018,12.93
9/7/2018,12.98
9/10/2018,12.71
9/11/2018,12.88
9/12/2018,12.83
9/13/2018,13.06
9/14/2018,12.87
9/17/2018,12.83
9/18/2018,12.91
9/19/2018,13.53
9/20/2018,13.46
9/21/2018,13.37
9/24/2018,13.45
9/25/2018,13.54
9/26/2018,13.6
9/27/2018,13.68
9/28/2018,13.59
10/1/2018,13.42
10/2/2018,13.06
10/3/2018,12.83
10/4/2018,12.28
10/5/2018,12.4
10/8/2018,12.42
10/9/2018,12.85
10/10/2018,12.28
10/11/2018,12.34
10/12/2018,12.9
10/15/2018,13.01
10/16/2018,13.45
10/17/2018,12.89
10/18/2018,12.76
10/19/2018,13.05
10/22/2018,13.09
10/23/2018,13.2
10/24/2018,12.69
10/25/2018,12.89
10/26/2018,12.64
10/29/2018,12.5
10/30/2018,12.15
10/31/2018,12.17
11/1/2018,12.57
11/2/2018,13.03
11/5/2018,13.77
11/6/2018,13.63
11/7/2018,14.3
11/8/2018,13.57
11/9/2018,13.38
11/12/2018,12.95
11/13/2018,13.26
11/14/2018,13
11/15/2018,13.5
11/16/2018,13.45
11/19/2018,13.39
11/20/2018,13.78
11/21/2018,13.71
11/23/2018,13.82
11/26/2018,14.25
11/27/2018,14.58
11/28/2018,14.66
11/29/2018,14.7
11/30/2018,14.11
12/3/2018,14.4
12/4/2018,14.28
12/6/2018,13.77
12/7/2018,13.01
12/10/2018,12.72
12/11/2018,12.5
12/12/2018,13.3
12/13/2018,13.54
12/14/2018,13.01
12/17/2018,12.97
12/18/2018,12.87
12/19/2018,12.64
12/20/2018,12.59
12/21/2018,12.27
12/24/2018,13.18
12/26/2018,12.72
12/27/2018,12.99
12/28/2018,13.06
